house_number,addition,street
71,,Erich-Mendelsohn-Allee
71,a,Erich-Mendelsohn-Allee
73,,Erich-Mendelsohn-Allee
73,a,Erich-Mendelsohn-Allee
75,,Erich-Mendelsohn-Allee
75,a,Erich-Mendelsohn-Allee
77,,Erich-Mendelsohn-Allee
77,a,Erich-Mendelsohn-Allee
79,,Erich-Mendelsohn-Allee
79,a,Erich-Mendelsohn-Allee
81,,Erich-Mendelsohn-Allee
81,a,Erich-Mendelsohn-Allee
83,,Erich-Mendelsohn-Allee
85,,Erich-Mendelsohn-Allee
87,,Erich-Mendelsohn-Allee
89,,Erich-Mendelsohn-Allee
91,,Erich-Mendelsohn-Allee
2,,Ludwig-Boltzmann-Straße
4,,Ludwig-Boltzmann-Straße
8,,Ludwig-Boltzmann-Straße
10,,Ludwig-Boltzmann-Straße
1,,Peter-Behrens-Straße
1,a,Peter-Behrens-Straße
2,,Peter-Behrens-Straße
3,,Peter-Behrens-Straße
3,a,Peter-Behrens-Straße
4,,Peter-Behrens-Straße
4,a,Peter-Behrens-Straße
4,b,Peter-Behrens-Straße
5,,Peter-Behrens-Straße
5,a,Peter-Behrens-Straße
6,,Peter-Behrens-Straße
6,a,Peter-Behrens-Straße
7,,Peter-Behrens-Straße
7,a,Peter-Behrens-Straße
8,,Peter-Behrens-Straße
8,a,Peter-Behrens-Straße
1,,Dennis-Gabor-Straße
2,,Dennis-Gabor-Straße
3,,Dennis-Gabor-Straße
4,,Dennis-Gabor-Straße
6,,Dennis-Gabor-Straße
8,,Dennis-Gabor-Straße
1,,Hannes-Meyer-Straße
2,,Hannes-Meyer-Straße
3,,Hannes-Meyer-Straße
4,,Hannes-Meyer-Straße
5,,Hannes-Meyer-Straße
6,,Hannes-Meyer-Straße
7,,Hannes-Meyer-Straße
8,,Hannes-Meyer-Straße
1,,Konrad-Wachsmann-Straße
1,a,Konrad-Wachsmann-Straße
1,b,Konrad-Wachsmann-Straße
1,c,Konrad-Wachsmann-Straße
1,d,Konrad-Wachsmann-Straße
1,e,Konrad-Wachsmann-Straße
1,f,Konrad-Wachsmann-Straße
1,g,Konrad-Wachsmann-Straße
2,,Konrad-Wachsmann-Straße
2,a,Konrad-Wachsmann-Straße
2,b,Konrad-Wachsmann-Straße
2,c,Konrad-Wachsmann-Straße
2,d,Konrad-Wachsmann-Straße
3,,Konrad-Wachsmann-Straße
3,a,Konrad-Wachsmann-Straße
3,b,Konrad-Wachsmann-Straße
3,c,Konrad-Wachsmann-Straße
3,d,Konrad-Wachsmann-Straße
3,e,Konrad-Wachsmann-Straße
4,,Konrad-Wachsmann-Straße
4,a,Konrad-Wachsmann-Straße
4,b,Konrad-Wachsmann-Straße
4,c,Konrad-Wachsmann-Straße
5,,Konrad-Wachsmann-Straße
5,a,Konrad-Wachsmann-Straße
5,b,Konrad-Wachsmann-Straße
5,c,Konrad-Wachsmann-Straße
6,,Konrad-Wachsmann-Straße
6,a,Konrad-Wachsmann-Straße
6,b,Konrad-Wachsmann-Straße
6,c,Konrad-Wachsmann-Straße
6,d,Konrad-Wachsmann-Straße
1,,Mies-van-der-Rohe-Straße
2,,Mies-van-der-Rohe-Straße
4,,Mies-van-der-Rohe-Straße
4,a,Mies-van-der-Rohe-Straße
6,,Mies-van-der-Rohe-Straße
6,a,Mies-van-der-Rohe-Straße
8,,Mies-van-der-Rohe-Straße
8,a,Mies-van-der-Rohe-Straße
1,,Bussardweg
2,,Bussardweg
3,,Bussardweg
4,,Bussardweg
5,,Bussardweg
6,,Bussardweg
7,,Bussardweg
9,,Bussardweg
11,,Bussardweg
3,,Tannenweg
4,,Tannenweg
6,,Tannenweg
10,,Tannenweg
11,,Tannenweg
12,,Tannenweg
13,,Tannenweg
14,,Tannenweg
15,,Tannenweg
17,,Tannenweg
18,,Tannenweg
18,a,Tannenweg
19,,Tannenweg
19,a,Tannenweg
20,,Tannenweg
20,a,Tannenweg
21,,Tannenweg
22,,Tannenweg
22,a,Tannenweg
23,,Tannenweg
24,,Tannenweg
26,,Tannenweg
28,,Tannenweg
30,,Tannenweg
32,,Tannenweg
34,,Tannenweg
36,,Tannenweg
1,,Annemarie-Wolff-Platz
2,,Annemarie-Wolff-Platz
3,,Annemarie-Wolff-Platz
4,,Annemarie-Wolff-Platz
5,,Annemarie-Wolff-Platz
1,,August-Bonness-Straße
3,,August-Bonness-Straße
3,a,August-Bonness-Straße
5,,August-Bonness-Straße
7,,August-Bonness-Straße
9,,August-Bonness-Straße
11,,August-Bonness-Straße
13,,August-Bonness-Straße
15,,August-Bonness-Straße
17,,August-Bonness-Straße
1,,Bartholomäus-Neumann-Straße
2,,Bartholomäus-Neumann-Straße
3,,Bartholomäus-Neumann-Straße
4,,Bartholomäus-Neumann-Straße
5,,Bartholomäus-Neumann-Straße
6,,Bartholomäus-Neumann-Straße
7,,Bartholomäus-Neumann-Straße
8,,Bartholomäus-Neumann-Straße
9,,Bartholomäus-Neumann-Straße
10,,Bartholomäus-Neumann-Straße
11,,Bartholomäus-Neumann-Straße
13,,Bartholomäus-Neumann-Straße
15,,Bartholomäus-Neumann-Straße
1,,Carl-Christian-Horvath-Straße
3,,Carl-Christian-Horvath-Straße
4,,Carl-Christian-Horvath-Straße
17,,Kiepenheuerallee
5,,Carl-Christian-Horvath-Straße
6,,Carl-Christian-Horvath-Straße
7,,Carl-Christian-Horvath-Straße
8,,Carl-Christian-Horvath-Straße
9,,Carl-Christian-Horvath-Straße
10,,Carl-Christian-Horvath-Straße
11,,Carl-Christian-Horvath-Straße
12,,Carl-Christian-Horvath-Straße
13,,Carl-Christian-Horvath-Straße
14,,Carl-Christian-Horvath-Straße
18,,Kiepenheuerallee
9,,Georg-Hermann-Allee
11,,Georg-Hermann-Allee
13,,Georg-Hermann-Allee
15,,Georg-Hermann-Allee
17,,Georg-Hermann-Allee
19,,Georg-Hermann-Allee
21,,Georg-Hermann-Allee
23,,Georg-Hermann-Allee
25,,Georg-Hermann-Allee
26,,Georg-Hermann-Allee
27,,Georg-Hermann-Allee
28,,Georg-Hermann-Allee
29,,Georg-Hermann-Allee
30,,Georg-Hermann-Allee
31,,Georg-Hermann-Allee
32,,Georg-Hermann-Allee
33,,Georg-Hermann-Allee
34,,Georg-Hermann-Allee
35,,Georg-Hermann-Allee
36,,Georg-Hermann-Allee
36,a,Georg-Hermann-Allee
36,b,Georg-Hermann-Allee
36,c,Georg-Hermann-Allee
37,,Georg-Hermann-Allee
39,,Georg-Hermann-Allee
39,a,Georg-Hermann-Allee
39,b,Georg-Hermann-Allee
41,,Georg-Hermann-Allee
